ID,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount
8001,10586,-0.543607631,1.387523236,2.232840974,2.644340834,0.728600527,1.152696662,0.547715486,-0.010481405,0.17820291,1.315712131,2.690470457,-2.671624184,0.79553257,1.627036933,0.516365936,-0.554351326,0.853494072,-0.215069347,0.197148124,0.39091255,-0.38112651,-0.356776805,0.002352798,-0.416658613,-0.641625738,-0.086266728,0.157255957,-0.203188322,5.47
8002,10590,1.09958202,-0.24498885,0.726928709,0.46434852,-0.716347285,-0.415850184,-0.284674628,-0.116753375,2.015081335,-0.803905696,0.781670571,-1.76444886,1.641095654,1.238928806,-0.819999694,-0.783045805,1.314762693,-1.004658121,-0.242363389,-0.06244341,-0.184246151,-0.111222633,-0.024093333,0.446342239,0.289132694,1.076978956,-0.085502785,0.002515327,57.12
8003,10592,1.2093189,-0.141697476,0.167162286,0.154968659,-0.268915423,-0.434013432,-0.162928453,-0.152609272,1.781752061,-0.5593204,-0.337158173,-3.168069541,0.784720476,1.838997254,0.642784828,0.690131479,0.075901775,0.133632778,0.248771115,-0.016126316,-0.51127556,-1.465235211,0.040046026,-0.693927439,0.080648354,0.494357884,-0.108245096,0.008094966,75
8004,10594,-1.804736039,0.972394295,-0.501341826,-1.118865544,2.664583061,3.377955771,0.866829888,0.142334802,2.354146365,1.556343484,1.391740618,-3.087950397,1.532968027,0.080372931,0.622996445,0.372671346,-0.171705882,0.405101602,-0.041494299,0.888323242,-0.921819154,-1.215204822,-0.241134767,0.880342699,0.122268806,-0.06777821,-0.199456286,-0.57266611,89.99
8005,10596,-2.276893064,-1.3103296,2.403430441,1.328849162,0.462806126,0.104581195,-0.449752958,-0.062036149,1.878904883,0.056036713,2.291836081,-2.034708941,0.990866771,0.938569454,-0.391830055,-0.430830403,0.847523646,0.32933888,1.003808082,-1.08660538,-0.44873746,0.55850555,1.369812782,0.201545932,-0.385015877,0.38958063,0.14123589,-0.410885045,9.06
8006,10596,-1.574478865,-0.856994286,3.583421095,3.685958536,-0.90492933,2.207162174,-0.499968357,0.642437902,1.684797883,0.16997253,1.080085041,-2.558495155,0.078517967,0.486400187,-2.059783866,-0.750181141,1.481173013,0.878170081,0.959777189,0.943364685,0.150144462,0.73525643,0.386690754,-0.045806417,0.169509537,0.494755036,0.121703535,-0.048172849,266.94
8007,10599,0.937320475,-0.234950394,1.480919883,1.816590028,-1.317710804,-0.511956979,-0.570141581,-0.020890886,2.096584937,-0.469916466,0.552403176,-2.498328385,0.712340569,1.415918751,-0.078665358,0.156304169,0.562278863,0.43655524,-0.915418331,-0.051155363,0.058200997,0.314382612,-0.088171886,0.852254008,0.342654848,-0.321324321,0.016697646,0.050322937,106
8008,10599,-1.133059977,1.037006886,1.892675529,-1.149681552,0.061604891,-0.76509585,0.676416858,-0.260165053,1.677260817,-0.32957305,1.236235519,-2.052036365,2.242006468,0.941334634,-0.006555581,0.034535189,0.290693382,-0.777221,-1.42733456,0.294832229,-0.298631675,-0.164453937,-0.021359597,0.388432598,-0.379150584,0.669655863,0.309374782,0.092705324,18.96
8009,10600,1.101484594,0.380340711,1.670211453,2.918697275,-0.668605495,0.221686603,-0.579072941,0.037236249,1.277800192,0.093743963,0.123943403,-1.932851712,2.446813816,0.871011633,-1.122699093,0.557517885,0.273893443,-0.018093296,-1.055252708,-0.128188169,-0.219387518,-0.225607945,0.035711903,0.347743971,0.295212542,-0.086353904,0.018439503,0.03352728,14.68
8010,10600,1.231712157,-0.089100602,0.655683693,0.406776784,-0.696112401,-0.701141983,-0.252768957,-0.229943493,2.028698866,-0.746752642,0.285983471,-1.902472214,1.819676419,1.161686996,-1.063286799,-0.404408621,0.910142594,-0.468699451,0.24939722,-0.081947221,-0.25282041,-0.260043315,-0.064598071,0.445576172,0.421992441,1.070156296,-0.095377123,-0.002945797,23.1
8011,10606,-0.128075035,0.714024731,1.359952085,-0.872214622,0.065328303,-1.104270929,0.508793883,-0.291757337,1.158193232,-1.109601712,0.627022547,-1.713101094,3.115531512,1.16471666,-0.486223604,0.472204859,-0.055004671,-0.218310674,-0.852641222,-0.091191801,-0.073004964,0.073338905,0.19747346,0.412118339,-1.354266444,0.503307474,0.125584694,0.222927571,5.35
8012,10609,1.235030793,-0.088613387,0.657309084,0.407120171,-0.70320081,-0.708620181,-0.258634453,-0.227149499,2.039723001,-0.74382888,0.270712911,-1.939363043,1.751840411,1.174832761,-1.056542371,-0.400654944,0.912804403,-0.459927261,0.251852431,-0.09014568,-0.254804673,-0.264483641,-0.063519397,0.425353855,0.420557144,1.07147481,-0.095417111,-0.003560238,21.42
8013,10611,1.056458699,-0.295994003,0.572853761,-0.263906008,-0.861588417,-1.135165044,0.050160151,-0.377093066,2.579483566,-1.519631354,0.954643513,-0.874240986,2.677483811,1.246085639,-0.422763692,-1.129073788,0.961235466,-0.384156492,0.55757757,0.088405891,-0.298380431,-0.506130323,-0.06165079,0.691821684,0.559351764,-0.825690988,0.023286034,0.040948679,104.02
8014,10616,-1.324955905,-0.131743804,-0.108091603,-0.422283081,0.009548733,-1.561813523,0.580471636,0.291543364,0.82677944,-0.811087666,1.737054735,-2.786170576,-0.657716338,2.793733408,-1.243729307,0.404560226,0.376148092,0.501392181,-0.541445935,0.222816108,0.176228614,0.078453421,0.45924193,0.48078642,-0.973894469,0.66953127,0.142575535,0.074069371,150
8015,10617,-0.567107037,1.08285865,1.658169566,0.538927143,0.374412951,-0.339919243,0.808058191,-0.131770118,1.061487187,-1.069087927,0.601134236,-1.679918344,2.151215997,1.147125739,-1.682377503,-0.653427544,0.736001549,-0.861604875,-1.438209516,-0.281385174,-0.128075367,0.036377496,-0.128664416,0.351176105,0.167720454,-0.585570059,-0.095136566,0.026584904,10.99
8016,10621,-1.727210729,0.16101008,1.257463871,-1.819247815,-0.228392541,-1.557528159,0.564720985,0.202497692,2.109429464,-2.536115857,0.438219262,-0.96520471,2.483925574,1.360384993,-1.690402746,-0.462006504,0.493989912,-0.335148197,-1.043572267,0.15345459,-0.158779306,-0.414494995,0.118869841,0.650300311,0.320831146,-1.144272107,0.193965947,0.025116328,104.02
8017,10621,1.295502543,-0.569752,1.249107557,-0.488919621,-1.421202034,-0.457905747,-1.141249683,-0.063519079,0.485001072,0.375667109,2.654219213,-1.937618167,2.673984551,1.030934832,-0.429717217,1.548237002,0.56484703,-0.252810427,0.22204718,0.131710289,0.313740559,1.083812562,-0.09966987,0.541418953,0.370019149,-0.122020696,0.010348646,0.015373094,24.99
